variable,n_distinct,p_distinct,is_unique,n_unique,p_unique,type,hashable,ordering,n_missing,n,p_missing,count,memory_size,min,max,range,chi_squared,invalid_dates,n_invalid_dates,p_invalid_dates,cast_type,n_negative,p_negative,n_infinite,n_zeros,mean,std,variance,kurtosis,skewness,sum,mad,5%,25%,50%,75%,95%,iqr,cv,p_zeros,p_infinite,monotonic_increase,monotonic_decrease,monotonic_increase_strict,monotonic_decrease_strict,monotonic,imbalance,first_rows,max_length,mean_length,median_length,min_length,length_histogram,histogram_length,n_characters_distinct,n_characters,character_counts,category_alias_values,block_alias_values,block_alias_counts,n_block_alias,block_alias_char_counts,script_counts,n_scripts,script_char_counts,category_alias_counts,n_category,category_alias_char_counts,word_counts
created_at,68,0.7640449438202247,False,66,0.7415730337078652,DateTime,True,True,0,89,0.0,89,844,2024-08-29 12:54:09.719578+00:00,2025-02-15 14:51:05.585089+00:00,"170 days, 1:56:55.865511","{'statistic': 187.40449438202245, 'pvalue': 5.309415455034451e-37}",0,0,0.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updated_at,68,0.7640449438202247,False,66,0.7415730337078652,DateTime,True,True,0,89,0.0,89,844,2024-08-29 12:54:09.719578+00:00,2025-02-15 14:51:05.585089+00:00,"170 days, 1:56:55.865511","{'statistic': 187.40449438202245, 'pvalue': 5.309415455034451e-37}",0,0,0.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,89,1.0,True,89,1.0,Numeric,True,True,0,89,0.0,89,844,17,108,91,"{'statistic': 0.25842696629213485, 'pvalue': 0.9999396882937703}",,,,None,0,0.0,0,0,62.57303370786517,26.70116087042652,712.9519918283963,-1.1811605781045478,-0.024384629297296553,5569,23.0,21.4,39.0,63.0,85.0,103.6,46.0,0.42671993490177057,0.0,0.0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,
item,3,0.033707865168539325,False,0,0.0,Categorical,True,True,0,89,0.0,89,844,,,,"{'statistic': 9.46067415730337, 'pvalue': 0.008823496326153908}",,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,0.053795351978891626,"{'0': 'Transferencia a Hapi', '1': 'Transferencia a Hapi', '2': 'Compra', '3': 'Transferencia a Hapi', '4': 'Transferencia a Hapi'}",20,9.348314606741573,8,6,"{'8': 37, '6': 36, '20': 16}","{'counts': [73, 0, 16], 'bin_edges': [6.0, 10.666666666666668, 15.333333333333334, 20.0]}",18,832,"{'i': 106, 'a': 100, 's': 90, 'n': 69, 'r': 68, 'p': 52, 'A': 37, 'l': 37, 'á': 37, 'C': 36, 'm': 36, 'o': 36, ' ': 32, 'e': 32, 'f': 16, 'T': 16, 'c': 16, 'H': 16}","{'i': '(unknown)', 'a': '(unknown)', 's': '(unknown)', 'n': '(unknown)', 'r': '(unknown)', 'p': '(unknown)', 'A': '(unknown)', 'l': '(unknown)', 'á': '(unknown)', 'C': '(unknown)', 'm': '(unknown)', 'o': '(unknown)', ' ': '(unknown)', 'e': '(unknown)', 'f': '(unknown)', 'T': '(unknown)', 'c': '(unknown)', 'H': '(unknown)'}","{'i': '(unknown)', 'a': '(unknown)', 's': '(unknown)', 'n': '(unknown)', 'r': '(unknown)', 'p': '(unknown)', 'A': '(unknown)', 'l': '(unknown)', 'á': '(unknown)', 'C': '(unknown)', 'm': '(unknown)', 'o': '(unknown)', ' ': '(unknown)', 'e': '(unknown)', 'f': '(unknown)', 'T': '(unknown)', 'c': '(unknown)', 'H': '(unknown)'}",{'(unknown)': 832},1,"{'(unknown)': {'i': 106, 'a': 100, 's': 90, 'n': 69, 'r': 68, 'p': 52, 'A': 37, 'l': 37, 'á': 37, 'C': 36, 'm': 36, 'o': 36, ' ': 32, 'e': 32, 'f': 16, 'T': 16, 'c': 16, 'H': 16}}",{'(unknown)': 832},1,"{'(unknown)': {'i': 106, 'a': 100, 's': 90, 'n': 69, 'r': 68, 'p': 52, 'A': 37, 'l': 37, 'á': 37, 'C': 36, 'm': 36, 'o': 36, ' ': 32, 'e': 32, 'f': 16, 'T': 16, 'c': 16, 'H': 16}}",{'(unknown)': 832},1,"{'(unknown)': {'i': 106, 'a': 100, 's': 90, 'n': 69, 'r': 68, 'p': 52, 'A': 37, 'l': 37, 'á': 37, 'C': 36, 'm': 36, 'o': 36, ' ': 32, 'e': 32, 'f': 16, 'T': 16, 'c': 16, 'H': 16}}","{'análisis': 37, 'compra': 36, 'transferencia': 16, 'a': 16, 'hapi': 16}"
concepto,53,0.5955056179775281,False,39,0.43820224719101125,Text,True,True,0,89,0.0,89,844,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'0': 'Compra Dolares', '1': 'Inversión', '2': 'VOO', '3': 'Compra Dolares', '4': 'Inversión'}",14,5.382022471910112,9,1,"{'4': 33, '3': 20, '7': 11, '9': 9, '14': 7, '5': 3, '2': 3, '1': 2, '8': 1}","{'counts': [5, 20, 36, 0, 12, 9, 0, 0, 7], 'bin_edges': [1.0, 2.4444444444444446, 3.888888888888889, 5.333333333333333, 6.777777777777778, 8.222222222222221, 9.666666666666666, 11.11111111111111, 12.555555555555555, 14.0]}",40,479,"{'D': 29, 'S': 25, 'C': 24, 'T': 24, 'r': 23, 'M': 23, 'B': 18, 'n': 18, 'O': 18, 'A': 17, 'U': 16, 'e': 16, 'I': 16, 's': 16, '-': 15, 'a': 14, 'o': 14, 'E': 13, 'R': 10, 'v': 9, 'ó': 9, 'i': 9, 'K': 8, 'V': 8, 'P': 8, 'Q': 8, 'p': 7, ' ': 7, 'l': 7, 'm': 7, 'N': 7, 'G': 7, 'L': 7, 'F': 6, 'Y': 5, 'X': 4, 'H': 3, 'W': 2, 'J': 1, 'Z': 1}","{'D': '(unknown)', 'S': '(unknown)', 'C': '(unknown)', 'T': '(unknown)', 'r': '(unknown)', 'M': '(unknown)', 'B': '(unknown)', 'n': '(unknown)', 'O': '(unknown)', 'A': '(unknown)', 'U': '(unknown)', 'e': '(unknown)', 'I': '(unknown)', 's': '(unknown)', '-': '(unknown)', 'a': '(unknown)', 'o': '(unknown)', 'E': '(unknown)', 'R': '(unknown)', 'v': '(unknown)', 'ó': '(unknown)', 'i': '(unknown)', 'K': '(unknown)', 'V': '(unknown)', 'P': '(unknown)', 'Q': '(unknown)', 'p': '(unknown)', ' ': '(unknown)', 'l': '(unknown)', 'm': '(unknown)', 'N': '(unknown)', 'G': '(unknown)', 'L': '(unknown)', 'F': '(unknown)', 'Y': '(unknown)', 'X': '(unknown)', 'H': '(unknown)', 'W': '(unknown)', 'J': '(unknown)', 'Z': '(unknown)'}","{'D': '(unknown)', 'S': '(unknown)', 'C': '(unknown)', 'T': '(unknown)', 'r': '(unknown)', 'M': '(unknown)', 'B': '(unknown)', 'n': '(unknown)', 'O': '(unknown)', 'A': '(unknown)', 'U': '(unknown)', 'e': '(unknown)', 'I': '(unknown)', 's': '(unknown)', '-': '(unknown)', 'a': '(unknown)', 'o': '(unknown)', 'E': '(unknown)', 'R': '(unknown)', 'v': '(unknown)', 'ó': '(unknown)', 'i': '(unknown)', 'K': '(unknown)', 'V': '(unknown)', 'P': '(unknown)', 'Q': '(unknown)', 'p': '(unknown)', ' ': '(unknown)', 'l': '(unknown)', 'm': '(unknown)', 'N': '(unknown)', 'G': '(unknown)', 'L': '(unknown)', 'F': '(unknown)', 'Y': '(unknown)', 'X': '(unknown)', 'H': '(unknown)', 'W': '(unknown)', 'J': '(unknown)', 'Z': '(unknown)'}",{'(unknown)': 479},1,"{'(unknown)': {'D': 29, 'S': 25, 'C': 24, 'T': 24, 'r': 23, 'M': 23, 'B': 18, 'n': 18, 'O': 18, 'A': 17, 'U': 16, 'e': 16, 'I': 16, 's': 16, '-': 15, 'a': 14, 'o': 14, 'E': 13, 'R': 10, 'v': 9, 'ó': 9, 'i': 9, 'K': 8, 'V': 8, 'P': 8, 'Q': 8, 'p': 7, ' ': 7, 'l': 7, 'm': 7, 'N': 7, 'G': 7, 'L': 7, 'F': 6, 'Y': 5, 'X': 4, 'H': 3, 'W': 2, 'J': 1, 'Z': 1}}",{'(unknown)': 479},1,"{'(unknown)': {'D': 29, 'S': 25, 'C': 24, 'T': 24, 'r': 23, 'M': 23, 'B': 18, 'n': 18, 'O': 18, 'A': 17, 'U': 16, 'e': 16, 'I': 16, 's': 16, '-': 15, 'a': 14, 'o': 14, 'E': 13, 'R': 10, 'v': 9, 'ó': 9, 'i': 9, 'K': 8, 'V': 8, 'P': 8, 'Q': 8, 'p': 7, ' ': 7, 'l': 7, 'm': 7, 'N': 7, 'G': 7, 'L': 7, 'F': 6, 'Y': 5, 'X': 4, 'H': 3, 'W': 2, 'J': 1, 'Z': 1}}",{'(unknown)': 479},1,"{'(unknown)': {'D': 29, 'S': 25, 'C': 24, 'T': 24, 'r': 23, 'M': 23, 'B': 18, 'n': 18, 'O': 18, 'A': 17, 'U': 16, 'e': 16, 'I': 16, 's': 16, '-': 15, 'a': 14, 'o': 14, 'E': 13, 'R': 10, 'v': 9, 'ó': 9, 'i': 9, 'K': 8, 'V': 8, 'P': 8, 'Q': 8, 'p': 7, ' ': 7, 'l': 7, 'm': 7, 'N': 7, 'G': 7, 'L': 7, 'F': 6, 'Y': 5, 'X': 4, 'H': 3, 'W': 2, 'J': 1, 'Z': 1}}","{'inversión': 9, 'btc-usd': 8, 'compra': 7, 'dolares': 7, 'brk-b': 3, 'voo': 3, 'meta': 3, 'msft': 3, 'spy': 2, 'qqq': 2, 'mmm': 2, 'vug': 2, 'nvda': 2, 'eth-usd': 2, 'spyg': 2, 'opfi': 1, 'goog': 1, 'tsla': 1, 'intc': 1, 'arkk': 1, 'amd': 1, 'bk': 1, 'qcom': 1, 'amzn': 1, 'sol-usd': 1, 'meli': 1, 'doge-usd': 1, 'aapl': 1, 'adbe': 1, 'orcl': 1, 'team': 1, 'ibm': 1, 'jpm': 1, 'c': 1, 'spot': 1, 'crm': 1, 'uber': 1, 'crwd': 1, 'nflx': 1, 'rddt': 1, 'dash': 1, 'dis': 1, 'axon': 1, 'lyv': 1, 'foxa': 1, 'ea': 1, 'coke': 1, 'cost': 1, 'wmt': 1, 'eqix': 1, 'mck': 1, 't': 1, 'irm': 1, 'nu': 1}"
fecha,16,0.1797752808988764,False,5,0.056179775280898875,DateTime,True,True,0,89,0.0,89,844,2023-01-03 00:00:00,2025-02-10 00:00:00,"769 days, 0:00:00","{'statistic': 550.7528089887642, 'pvalue': 2.369484513493409e-109}",0,0,0.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moneda,2,0.02247191011235955,False,0,0.0,Categorical,True,True,0,89,0.0,89,844,,,,"{'statistic': 63.20224719101124, 'pvalue': 1.865354549203879e-15}",,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,0.6025895896300751,"{'0': 'COP', '1': 'USD', '2': 'USD', '3': 'COP', '4': 'USD'}",3,3.0,3,3,{'3': 89},"{'counts': [89], 'bin_edges': [2.5, 3.5]}",6,267,"{'U': 82, 'S': 82, 'D': 82, 'C': 7, 'O': 7, 'P': 7}","{'U': '(unknown)', 'S': '(unknown)', 'D': '(unknown)', 'C': '(unknown)', 'O': '(unknown)', 'P': '(unknown)'}","{'U': '(unknown)', 'S': '(unknown)', 'D': '(unknown)', 'C': '(unknown)', 'O': '(unknown)', 'P': '(unknown)'}",{'(unknown)': 267},1,"{'(unknown)': {'U': 82, 'S': 82, 'D': 82, 'C': 7, 'O': 7, 'P': 7}}",{'(unknown)': 267},1,"{'(unknown)': {'U': 82, 'S': 82, 'D': 82, 'C': 7, 'O': 7, 'P': 7}}",{'(unknown)': 267},1,"{'(unknown)': {'U': 82, 'S': 82, 'D': 82, 'C': 7, 'O': 7, 'P': 7}}","{'usd': 82, 'cop': 7}"
valor,48,0.5393258426966292,False,41,0.4606741573033708,Numeric,True,True,0,89,0.0,89,844,6.26,1850744.0,1850737.74,"{'statistic': 1791630.3820224719, 'pvalue': 0.0}",,,,None,0,0.0,0,0,51254.26561797754,233933.50025069944,54724882539.544,41.69172083255227,6.0454265009056,4561629.64,12.700000000000003,19.759999999999998,45.15,100.0,100.0,351854.7999999981,54.85,4.5641762188988775,0.0,0.0,False,False,False,False,0,,,,,,,,,,,,,,,,,,,,,,,
propietario,2,0.02247191011235955,False,0,0.0,Categorical,True,True,0,89,0.0,89,844,,,,"{'statistic': 31.56179775280899, 'pvalue': 1.9319305965148268e-08}",,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,0.2736002264582543,"{'0': 'Fabio Salinas', '1': 'Fabio Salinas', '2': 'Fabio Salinas', '3': 'Fabio Salinas', '4': 'Fabio Salinas'}",13,13.0,13,13,{'13': 89},"{'counts': [89], 'bin_edges': [12.5, 13.5]}",13,1157,"{'a': 267, 'i': 178, 'n': 107, ' ': 89, 'o': 89, 'l': 89, 'F': 71, 'b': 71, 'S': 71, 's': 71, 'D': 18, 'G': 18, 'd': 18}","{'a': '(unknown)', 'i': '(unknown)', 'n': '(unknown)', ' ': '(unknown)', 'o': '(unknown)', 'l': '(unknown)', 'F': '(unknown)', 'b': '(unknown)', 'S': '(unknown)', 's': '(unknown)', 'D': '(unknown)', 'G': '(unknown)', 'd': '(unknown)'}","{'a': '(unknown)', 'i': '(unknown)', 'n': '(unknown)', ' ': '(unknown)', 'o': '(unknown)', 'l': '(unknown)', 'F': '(unknown)', 'b': '(unknown)', 'S': '(unknown)', 's': '(unknown)', 'D': '(unknown)', 'G': '(unknown)', 'd': '(unknown)'}",{'(unknown)': 1157},1,"{'(unknown)': {'a': 267, 'i': 178, 'n': 107, ' ': 89, 'o': 89, 'l': 89, 'F': 71, 'b': 71, 'S': 71, 's': 71, 'D': 18, 'G': 18, 'd': 18}}",{'(unknown)': 1157},1,"{'(unknown)': {'a': 267, 'i': 178, 'n': 107, ' ': 89, 'o': 89, 'l': 89, 'F': 71, 'b': 71, 'S': 71, 's': 71, 'D': 18, 'G': 18, 'd': 18}}",{'(unknown)': 1157},1,"{'(unknown)': {'a': 267, 'i': 178, 'n': 107, ' ': 89, 'o': 89, 'l': 89, 'F': 71, 'b': 71, 'S': 71, 's': 71, 'D': 18, 'G': 18, 'd': 18}}","{'fabio': 71, 'salinas': 71, 'diana': 18, 'galindo': 18}"
umbral_venta,1,0.011235955056179775,False,0,0.0,Categorical,True,True,0,89,0.0,89,844,,,,"{'statistic': 0.0, 'pvalue': nan}",,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,"{'0': '1.5', '1': '1.5', '2': '1.5', '3': '1.5', '4': '1.5'}",3,3.0,3,3,{'3': 89},"{'counts': [89], 'bin_edges': [2.5, 3.5]}",3,267,"{'1': 89, '.': 89, '5': 89}","{'1': '(unknown)', '.': '(unknown)', '5': '(unknown)'}","{'1': '(unknown)', '.': '(unknown)', '5': '(unknown)'}",{'(unknown)': 267},1,"{'(unknown)': {'1': 89, '.': 89, '5': 89}}",{'(unknown)': 267},1,"{'(unknown)': {'1': 89, '.': 89, '5': 89}}",{'(unknown)': 267},1,"{'(unknown)': {'1': 89, '.': 89, '5': 89}}",{'1.5': 89}
